Instrument,ISIN,Mnemonic
JUMBO INTERACTIVE LTD,AU000000JIN0,JUB
JUPITER ENERGY LTD.,AU000000JPR6,J2E
KORE POTASH LTD,AU000000K2P1,E6B
KABOKO MINING LTD,AU000000KAB0,GW6
KAROON GAS AUSTRALIA LTD.,AU000000KAR6,LBL
KBL MINING LTD.,AU000000KBL7,XKI
KINGSGATE CONSOLIDATED,AU000000KCN1,KCN
KULA GOLD LTD,AU000000KGD3,7KL
KGL RESOURCES LTD.,AU000000KGL6,KN6
KALNORTH GOLD MINES LTD,AU000000KGM4,OBF
KOGAN.COM LTD,AU000000KGN2,UZQ
KING ISLAND SCHEELITE,AU000000KIS7,N9A
KIBARAN RESOURCES LTD.,AU000000KNL2,FMK
KANGAROO RESOURCES LTD,AU000000KRL3,KME
KINGSROSE MINING LTD,AU000000KRM1,3K5
LEIGH CREEK ENERGY LTD,AU000000LCK5,LVT
LOGICAMMS LTD,AU000000LCM1,47L
LINDIAN RES LTD,AU000000LIN6,VP6
LITHIUM AUSTRALIA,AU000000LIT3,3MW
LAKES OIL N.L.,AU000000LKO0,LKS
LENDLEASE GROUP STAPL.SEC,AU000000LLC3,LLC
LATROBE MAGNESIUM LTD.,AU000000LMG2,L2Q
LIQUEFIED NATURAL GAS LTD,AU000000LNG0,LI5
LINK ADMINISTR. HLDGS.LTD,AU000000LNK2,1LK
LUCAPA DIAMOND CO. LTD.,AU000000LOM6,NHY
LEPIDICO LTD,AU000000LPD2,AUB
LITHIUM POWER INTL LTD,AU000000LPI1,24L
LATIN RESOURCES LTD,AU000000LRS6,XL5
LACHLAN STAR LTD,AU000000LSA2,GY6
LIONTOWN RESOURCES LTD,AU000000LTR4,LIS
LWP TECHNOLOGIES LTD,AU000000LWP2,KXT
LYNAS CORP. LTD,AU000000LYC6,LYI
MALACHITE RESOURCES LTD.,AU000000MAR2,MUW
MATSA RESOURCES LTD,AU000000MAT8,KB2
MELBANA ENERGY LTD,AU000000MAY8,MU9A
MALABAR COAL,AU000000MBC2,M8C
MOBILE EMBRACE LTD,AU000000MBE8,XAH
MISSION NEWENERGY LTD.,AU000000MBT6,M8B
MATRIX COMPOSIT.+ENGINEE.,AU000000MCE6,8ME
MINCOR RESOURCES NL,AU000000MCR8,MV3
METALICITY LTD,AU000000MCT4,P8O
MIDDLE ISLAND RES LTD.,AU000000MDI5,M83
MINERAL DEPOSITS,AU000000MDL9,MDI
METEORIC RESOURCES N.L.,AU000000MEI3,RNF
MARMOTA LTD.,AU000000MEU8,43M
MARENICA ENERGY LTD,AU000000MEY0,WTT
MACARTHUR MINERALS LTD,AU000000MFE9,MMLA
MAGELLAN FINL GRP,AU000000MFG4,NNA
MIRVAC GROUP UTS,AU000000MGR9,MJB
MUSGRAVE MINERALS LTD,AU000000MGV1,6MU
MOUNT GIB.I.,AU000000MGX7,FWQ
MANHATTAN CORP.LTD,AU000000MHC9,32U
MHM METALS LTD.,AU000000MHM8,4MH
MIGME LTD,AU000000MIG8,WELA
MINERAL RES LTD,AU000000MIN4,F5J
MEJORITY CAPITAL LTD,AU000000MJC5,NF3
MOKO SOCIAL MEDIA LTD.,AU000000MKB5,AAP
METALIKO RESOURCES LTD,AU000000MKO8,MK8
MINTAILS LTD,AU000000MLI8,GG2
METALLICA MINERALS LTD.,AU000000MLM0,MM4
METALS X LTD,AU000000MLX7,FG5
METRO MINING LTD,AU000000MMI6,6ME
MMJ PHYTOTECH LTD,AU000000MMJ4,2P9
MEDUSA MINING LTD,AU000000MML0,MQG
METMINCO LTD,AU000000MNC7,M9K
MONADELPHOUS GROUP LTD.,AU000000MND5,8MP
MANTLE MINING CORP. LTD,AU000000MNM6,QFO
MAGNIS RES LTD,AU000000MNS3,U1P
MOLY MINES LTD,AU000000MOL6,HJ1
MILLENNIUM MINERALS LTD,AU000000MOY9,UWF
MEDIBANK PRIVATE LTD,AU000000MPL3,MPV
MOLOPO ENERGY LTD.,AU000000MPO7,MO1
MACQUARIE ATLAS ROADS GRP,AU000000MQA4,M82
MACQUARIE GROUP LTD,AU000000MQG1,4M4
MACPHERSONS RESOURCES LTD,AU000000MRP0,9PR
MESOBLAST LTD.,AU000000MSB8,LWB
MAXSEC GROUP LTD,AU000000MSP8,UUY
METCASH LTD,AU000000MTS0,MG9
MONASH IVF GROUP LTD,AU000000MVF3,MIS
MERCANTILE INVEST.CO.LTD,AU000000MVT4,32IA
MGM WIRELESS LTD.,AU000000MWR6,EZY
MAXIMUS RESOURCES LTD,AU000000MXR4,M5F
MASTERMYNE GROUP LTD,AU000000MYE0,024
MYOB GROUP LTD,AU000000MYO9,7MY
MYER HOLDINGS LTD,AU000000MYR2,30M
MAYNE PHARMA GROUP LTD.,AU000000MYX0,HG6
MZI RESOURCES LTD.,AU000000MZI8,OI7
MONTEZUMA MINING CO. LTD,AU000000MZM0,QFP
NATL AUSTR. BK,AU000000NAB4,NAL
NAGAMBIE RESOURCES LTD.,AU000000NAG3,P6C
NANOSONICS LTD,AU000000NAN9,OQS
NAVIGATOR RES LTD,AU000000NAV2,N1R
NEWCREST MNG LTD,AU000000NCM7,NMA
NUCOAL RESOURCES LTD,AU000000NCR6,4OK
NIDO PETROLEUM LTD.,AU000000NDO1,NPL
NINE ENTERTAINM.CO.HLDGS,AU000000NEC4,NEE
NEW GUINEA ENERGY LTD,AU000000NGE5,TTU
NUENERGY GAS LTD.,AU000000NGY3,NUB
NEW HOPE CORP. LTD,AU000000NHC7,OD8
NIB HLDGS LTD,AU000000NHF0,3GU
NOVITA HEALTHCARE,AU000000NHL8,UV7
NEX METALS EXPLORATIONS,AU000000NME3,41N
NMG CORPORATION LTD.,AU000000NMG8,59Y
NEPTUNE MARINE SERVICES,AU000000NMS3,NGF
NEOMETALS LTD,AU000000NMT1,9R9
NANOPAC INNOVATION CDI 1,AU000000NNO0,NNPA
99 WUXIAN LTD CDI 1,AU000000NNW3,99W
NOVARISE RENEWBLE RES.IN.,AU000000NOE9,R3N
NORWOOD SYSTEMS LTD,AU000000NOR1,M2G
NOVOGEN LTD,AU000000NRT0,NV9
NSL CONSOLIDATED LTD.,AU000000NSL5,2NC
NORTHERN STAR RES.LTD.,AU000000NST8,NS7
NTM GOLD LTD.,AU000000NTM1,VQJ
NORTHERN MINERALS LTD.,AU000000NTU4,NUN
NUFARM LTD.,AU000000NUF3,NUF
NAVITAS LTD,AU000000NVT2,IE8
NORWEST ENERGY,AU000000NWE2,NUX
NRW HOLDINGS LTD,AU000000NWH5,3NR
"NEWS CORP.N.CUFS(B)DL-,01",AU000000NWS2,NC0E
NEXUS MINERALS LTD,AU000000NXM3,YAK
NEXTDC LTD,AU000000NXT8,2NX
ODIN ENERGY LTD,AU000000ODN1,31O
ORBITAL CORP.LTD.,AU000000OEC2,OREA
OTTO ENERGY LTD.,AU000000OEL3,O1E
OILEX LTD.,AU000000OEX8,OLX
OFX GROUP LTD.,AU000000OFX5,OFZ
OCEANAGOLD DEF. CUFS 1,AU000000OGC7,RQQ1
OKLO RESOURCES LTD.,AU000000OKU1,JYA
OTHERLEVELS HLDGS LTD,AU000000OLV7,7OL
OOH MEDIA LTD,AU000000OML6,0OH
OMNI MARKET TIDE,AU000000OMT9,A4B
ORORA LTD,AU000000ORA8,OORD
OROCOBRE LTD,AU000000ORE0,3O1
ORIGIN ENERGY LTD.,AU000000ORG5,ORL
ORH LTD.,AU000000ORH3,F13
ORICA LTD.,AU000000ORI1,ICA
ORION METALS LTD,AU000000ORM3,B5Z
OZ MINERALS LTD,AU000000OZL8,OXR
PHARMAUST LTD.,AU000000PAA1,ECQ
PACIFIC AMER. COAL,AU000000PAK0,4MFA
PANORAMIC RES LTD,AU000000PAN4,YM1
PRANA BIOTECHNOLOGY LTD.,AU000000PBT9,PBN
PANCONTINENTAL OIL + GAS,AU000000PCL4,PUB
PALADIN ENERGY LTD.,AU000000PDN8,PUR
PADBURY MINING LTD,AU000000PDY5,GHJ
PRAIRIE MINING LTD.,AU000000PDZ2,5PM
PIXIE GROUP LTD,AU000000PEG0,36Z
PEAK RES LTD,AU000000PEK2,M3U
PENINSULA ENERGY LTD.,AU000000PEN6,P1M
PEEL MINING LTD.,AU000000PEX5,W5E
PARAGON CARE LTD,AU000000PGC4,PXS
PACT GROUP HLDGS,AU000000PGH3,27P
PLATINA RESOURCES LTD,AU000000PGM3,P4R
"PAS GROUP LTD., THE",AU000000PGR2,PG9
PERPETUAL EQU. INV.,AU000000PIC0,P82
PEPPERMINT INNOVATION,AU000000PIL1,C561
PIONEER RESOURCES LTD.,AU000000PIO5,PNL
PEAKO LTD.,AU000000PKO1,RJS
PROPERTYLINK GRP STP.SECS,AU000000PLG5,9PY
PILBARA MINERALS LTD,AU000000PLS0,PLR
PEPINNINI MINERALS LTD.,AU000000PNN7,PMQ
PANTORO LTD.,AU000000PNR8,RKN
PNX METALS LTD.,AU000000PNX6,4P1
PHOSPHAGENICS LTD,AU000000POH7,OEZ
POSEIDON NICKEL LTD.,AU000000POS4,NYG1
PROTEAN ENERGY LTD.,AU000000POW6,SHE1
POZ MINERALS LTD.,AU000000POZ9,PHO
PAN PAC. PET.,AU000000PPP7,FWU
PERPETUAL LTD.,AU000000PPT9,PVQ
PETREL ENERGY LTD,AU000000PRL2,3O2
PRIMA BIOMED LTD,AU000000PRR9,YP1
PERSEUS MINING LTD.,AU000000PRU3,P4Q
PROTO RES + INVTS LTD,AU000000PRW9,M4Q
PRIMARY HEALTH CARE LTD,AU000000PRY5,PGZ
PRESCIENT THERAP.,AU000000PTX3,UDD
"PSIVIDA CORP.CDIS/1DL-,01",AU000000PVA7,PV3
PURA VIDA ENERGY NL,AU000000PVD1,P6V
PARKWAY MINERALS NL,AU000000PWN8,4IP
PHARMAXIS LTD.,AU000000PXS5,UUD
PHYLOGICA LTD.,AU000000PYC7,PH7
PAN ASIA CORP.LTD,AU000000PZC4,PNI
QANTAS AIRWAYS,AU000000QAN2,QAN
QBE INSURANCE GRP,AU000000QBE9,QBE
QUEENSLAND BAUXITE LTD,AU000000QBL4,54A
QMS MEDIA LTD,AU000000QMS6,46M
QUANTUM ENERGY LTD.,AU000000QTM4,QD4
RESAPP HEALTH,AU000000RAP5,NUG
ROBO 3D LTD,AU000000RBO6,FVK
RCR TOMLINSON LTD,AU000000RCR7,YV4
REA GROUP LTD.,AU000000REA9,R9C
RED 5 LTD.,AU000000RED3,RKM
REGIS HEALTHCARE,AU000000REG6,06K1
REGAL RES LTD,AU000000RER3,HJY
RESOURCE GENERATION LTD,AU000000RES1,54R
REDFLOW LTD,AU000000RFX8,2RF
RAMSAY HEALTH,AU000000RHC8,RMY
RIO TINTO LTD,AU000000RIO1,CRA1
"RESMED CUFS/10 DL-,004",AU000000RMD6,RMEA
RAM RESOURCES LTD,AU000000RMR6,C5W
RAMELIUS RES LTD,AU000000RMS4,RRZ
RENU ENERGY LTD,AU000000RNE2,GD2
RENASCOR RESOURCES LTD,AU000000RNU8,RU8
REGIS RESOURCES LTD.,AU000000RRL8,RKQ
RANGE RES. LTD,AU000000RRS3,RR5
RESOLUTE MINING,AU000000RSG6,RSM
RUNGEPINCOCKMINARO LTD.,AU000000RUL2,4Q3
"REVA MEDICAL CDI DL-,0001",AU000000RVA3,RV9C
RED RIVER RESOURCES LTD.,AU000000RVR7,R1R
RIFT VALLEY RES,AU000000RVY3,3T9
RELIANCE WORLDWIDE CORP.,AU000000RWC7,0EU
ROYAL WOLF HLDGS LTD,AU000000RWH6,1RW
ROX RES LTD,AU000000RXL6,RR3
REX MINERLAS LTD,AU000000RXM4,3R7
SOUTH32 LTD,AU000000S320,32Z
SARACEN MINERAL HLDGS,AU000000SAR9,SIH
SKY + SPACE GLOBAL LTD,AU000000SAS7,B3E
STERLING PLANTATIONS LTD.,AU000000SBI6,F7U
ST. BARBARA LTD.,AU000000SBM8,BM1
SABRE RESOURCES LTD.,AU000000SBR7,SAL
SCENTRE GROUP UTS,AU000000SCG8,59S
SILVER CITY MINERALS LTD,AU000000SCI4,AUT
SPEEDCAST INTL LTD,AU000000SDA9,7SC
STEADFAST GROUP LTD,AU000000SDF8,1S6
SUNDANCE RES LTD,AU000000SDL6,SFM1
SUNDANCE ENERGY AUSTRALIA,AU000000SEA7,SFF
SINO GAS+ENERGY HLDGS,AU000000SEH2,7SE
SEEK LTD,AU000000SEK6,SLD
STRATEGIC ENERGY RES LTD,AU000000SER1,EB8
SANDFIRE RESOURCES NL,AU000000SFR8,S2Z
SLATER AND GORDON LTD,AU000000SGH7,OQH
SIMS METAL MGMT LTD. DEF.,AU000000SGM7,I8M
STOCKLAND STLPD SECS,AU000000SGP0,LN1
ST.GEORGE MINING LTD,AU000000SGQ8,S0G
T.STAR ENTERTAINMENT GRP,AU000000SGR6,EE9
STONE RES AUSTRALIA LTD,AU000000SHK9,A5J
SONIC HEALTHCARE,AU000000SHL7,SAB
SIGMA PHARMACEUTICAL LTD,AU000000SIP6,S5Y
SPARK INFRASTRUCTURE GRP,AU000000SKI7,02S
SILVER LAKE RES. LTD,AU000000SLR6,4SL
SILEX SYS LTD,AU000000SLX4,RW4
SYNDICATED METALS LTD,AU000000SMD4,3OV
SUMMIT RES LTD.,AU000000SMM5,RX5
STRUCT.MONIT.SYSCDIS,AU000000SMN3,RJP
SAUNDERS INTL LTD,AU000000SND2,4SU
SALT LAKE POTASH LTD,AU000000SO44,W1D
SOMNOMED LTD.,AU000000SOM1,RJV
SOUTH PACIFIC RES,AU000000SPB1,AJ4
STARPHARMA HOLDINGS LTD.,AU000000SPL0,PQ6
SPOTLESS GROUP HOLDINGS,AU000000SPO4,0S5
SIPA RESOURCES LTD.,AU000000SRI2,SPO
SUREFIRE RES,AU000000SRN2,GBL
SIRTEX MEDICAL LTD.,AU000000SRX1,SQX
STARGROUP LTD,AU000000STL2,S33
SANTOS LTD,AU000000STO6,STS1
STRIKE ENERGY LTD.,AU000000STX7,RJN
SUDA LTD,AU000000SUD7,E4N
SUPER RETAIL GROUP LTD.,AU000000SUL0,RSU
SUMATRA COPPER+GOLD CDIS,AU000000SUM8,8SCA
SUNCORP GROUP LTD.,AU000000SUN6,SU4
SUN RES NL,AU000000SUR7,RSX
SILVER MINES LTD,AU000000SVL8,SWQ
SEVEN GROUP HOLDINGS LTD,AU000000SVW5,9SG
SEVEN WEST MEDIA LTD,AU000000SWM4,WA7
SOUTH EAST ASIA RES,AU000000SXI0,R1E
SOUTHERN CROSS MEDIA GRP,AU000000SXL4,6MM
SENEX ENERGY LTD,AU000000SXY7,UDB
SAYONA MINING LTD,AU000000SYA5,DML
SYDNEY AIRPORT STAPLED,AU000000SYD9,MJS
SYRAH RESOURCES LTD,AU000000SYR9,3S7
333D LTD,AU000000T3D6,OZ8
TABCORP HLDGS LTD,AU000000TAH8,THL
TANAMI GOLD,AU000000TAM8,TQM
TAP OIL LTD.,AU000000TAP1,TAK
TASMAN RESOURCES LTD.,AU000000TAS5,S9U
TRIBUNE RESOURCES LTD.,AU000000TBR5,TNR
TRANSURBAN GRP STPLD.SEC.,AU000000TCL6,TU9
TBG DIAGNOSTICS LTD,AU000000TDL4,PG1
3D OIL LTD,AU000000TDO8,MUE
TEN NETWORK HLDGS,AU000000TEN8,TWG
TERRACOM LTD,AU000000TER9,2GF
TFS CORP. LTD.,AU000000TFC8,UFW
TIGER RESOURCES LTD.,AU000000TGS2,RH8
TERANGA GOLD CORP.CDIS1,AU000000TGZ7,0TG1
"THOR MNG CUFS/1LS- 0,0001",AU000000THR2,T5MB
THUNDELARRA LTD.,AU000000THX0,TJ3
TALGA RESOURCES LTD.,AU000000TLG7,TGX
TALISMAN MINING LTD.,AU000000TLM5,RJA
TELSTRA CORP. LTD,AU000000TLS2,TSTA
TECHNOLOGY ONE LTD.,AU000000TNE8,RW8
TNG LTD.,AU000000TNG3,HJI
TORO ENERGY LTD.,AU000000TOE6,T4W
TRITON MINERALS LTD.,AU000000TON7,1TG
TPG TELECOM LTD,AU000000TPM6,YST
TROY RESOURCES LTD.,AU000000TRY7,TRW
TATTS GROUP LTD.,AU000000TTS5,T7V
TREASURY WINE ESTATES LTD,AU000000TWE9,T7W
TYCHEAN RESOURCES LTD,AU000000TYK2,N2Z
TYRANNA RES LTD,AU000000TYX5,IRN
TERRAMIN AUSTRALIA LTD.,AU000000TZN3,T2A
URANIUM EQUITIES LTD,AU000000UEQ9,BUU
UNIVERSAL COAL PLC CDIS 1,AU000000UNV0,S5C1
URANIUMSA LTD,AU000000USA3,U9V
ULTIMA UNITED LTD.,AU000000UUL6,EZX
VIRGIN AUSTRALIA HLDG.LTD,AU000000VAH4,VBL
VICINITY CENTRES LTD,AU000000VCX7,C98
VEEM LTD,AU000000VEE3,VEV
VIENTO GROUP LTD,AU000000VIE4,WRF
VIKING MINES LTD.,AU000000VKA8,AVI
VITAL METALS LTD,AU000000VML1,VJF
VOCUS COMMUNICATIONS LTD,AU000000VOC6,VOQ
VOLT RESOURCES LTD,AU000000VRC9,R8L
VERDANT MINLS LTD,AU000000VRM8,3RU
VIRTUS HEALTH LTD,AU000000VRT3,V6H
VITA LIFE SCIENCES LTD,AU000000VSC7,39V
VALENCE INDS LTD,AU000000VXL8,VL1
VENTUREX RES LTD,AU000000VXR5,IHB
WEST AFRICAN RES LTD,AU000000WAF6,W25
WESTPAC BKG,AU000000WBC1,WBC
WEEBIT NANO LTD,AU000000WBT5,6RI
WEBJET LTD,AU000000WEB7,WBJ
WHITE ENERGY LTD.,AU000000WEC5,XPK
WESFARMERS LTD,AU000000WES1,WF3
WESTFLD CORP. UTS,AU000000WFD0,WFF
WESTGOLD RES LTD,AU000000WGX6,0W2
WHITEHAVEN COAL LTD,AU000000WHC8,WC2
WOLLONGONG COAL,AU000000WLC0,IVA
WORLEYPARSONS LTD.,AU000000WOR2,WF9
WOOLWORTHS,AU000000WOW2,WWR
WOODSIDE PET.,AU000000WPL2,WOPA
WATER RESOURCES GROUP LTD,AU000000WRG8,WXV
WESTERN AREAS LTD.,AU000000WSA9,FX9
WISETECH GLOBAL LTD,AU000000WTC3,17W
WATPAC LTD,AU000000WTP5,W4C
XANADU MINES LTD,AU000000XAM0,02X
XPED LTD,AU000000XPE5,U9O
XTV NETWORKS LTD,AU000000XTV1,UMG
YANCOAL AUSTRALIA LTD,AU000000YAL0,YA1
ZIPTEL LTD,AU000000ZIP1,DN9
ZELDA THERAPEUT. LTD,AU000000ZLD1,G1G
ZINC OF IRELAND,AU000000ZMI8,39G
ZENITH MINERALS LTD,AU000000ZNC9,ZCB
ZENITAS HEALTHCARE LTD,AU000000ZNT3,BGD
ETFS MET.SEC.Z08/UN.,AU00000GOLD7,GB5
AMP 13/23 FLR,AU0000AMPHA9,
APA GROUP 2072 FLR,AU0000AQHHA7,
CROWN RESORTS 2072 FLR,AU0000CWNHA9,
NATL AUSTR.BK 2022 FLR,AU0000NABHB5,
TABCORP HLDGS 2037 FLR,AU0000TAHHB9,
WESTPAC BKG 2022 FLR,AU0000WBCHA4,
WESTPAC BKG 2023 FLR,AU0000WBCHB2,
SEEING MACHINE PTY LTD,AU0000XINAJ0,M2Z
IRONRIDGE RES LTD,AU0000XINEX3,BSG
TRONOX LTD A,AU000XINEOA7,TX9
SOLVAY S.A.  A,BE0003470755,SOL
TESSENDERLO CHEM. P.S.,BE0003555639,TEZ
KBC GROEP N.V.,BE0003565737,KDB
COFINIMMO,BE0003593044,COF
SAPEC SA,BE0003625366,S29
RECTICEL,BE0003656676,RCZ
BEFIMMO S.A.,BE0003678894,VJ6
SOFINA,BE0003717312,8FS
RETAIL ESTATES,BE0003720340,R6N
WERELDHAVE BELGIUM SCA,BE0003724383,WPU
ORANGE BELGIUM S.A.,BE0003735496,MOS
UCB S.A.,BE0003739530,UNC
INTERVEST OFFICES+WAREHO.,BE0003746600,IJY
VASTNED RETAIL BELGIUM,BE0003754687,IJX
AGFA-GEVAERT N.V.,BE0003755692,AGE
HOME INVEST BELGIUM,BE0003760742,H5V
WAREHOUSES DE PAUW S.C.A.,BE0003763779,WPH
ACKERMANS + VAN HAAREN,BE0003764785,B3K
ION BEAM APPLICATIONS SA,BE0003766806,IOB
LEASINVEST REAL ESTATE,BE0003770840,L3R
BARCO N.V. (NEW),BE0003790079,BC1N
GBL SA,BE0003797140,EAI
PROXIMUS S.A.,BE0003810273,BX7
EURONAV S.A. NAM.,BE0003816338,OCW
GALAPAGOS N.V.,BE0003818359,GXE
ELIA SYSTEM OPERA. SA/NV,BE0003822393,E4S
TELENET GROUP HOLDING NV,BE0003826436,T4I
OPTION N.V. NOM.NOUV.,BE0003836534,OINA
THROMBOGENICS N.V.,BE0003846632,TG4
AEDIFICA S.A.,BE0003851681,AOO
MONTEA SCA,BE0003853703,M8E
TIGENIX N.V.,BE0003864817,G9U
KBC ANCORA INH. O.N.,BE0003867844,KB9
FAGRON N.V. PORT.,BE0003874915,4A5
ABLYNX NV,BE0003877942,4AY
VGP N.V.,BE0003878957,4V1
KEYWARE TECHNOLOGIES O.N.,BE0003880979,KY3A
CIE ENT. CFE NAM.,BE0003883031,C70
UMICORE S.A. NEW,BE0003884047,NVJN
REALDOLMEN S.A.,BE0003899193,RS5A
DPAM INV.B EQ.EUR.DIV.A D,BE0057450265,0PMD
DPAM INV.B EQ.EUR.DIV.B C,BE0057451271,0PME
DPAM INV.B EQ.EUROLAND AD,BE0058181786,0PMA
DPAM INV.B EQ.EUROLAND BC,BE0058182792,0PMB
KBC EQ.FD-EUR. CAP.,BE0126161612,WJF4
KBC ECO FD-WORLD CAP.,BE0133741752,CFQ7
KBC EQ.FD-N.ASIA CAP.,BE0146025409,WJF6
KBC EQ.FD-LAT.AM. CAP.,BE0146026415,WJE1
KBC EQ.FD-N.ASIA DIS.,BE0152245529,WJF7
KBC SEL.IMMO-BEL.PLUS CAP,BE0153263034,WJFK
CANDR.SUST.-MEDIUM C CAP,BE0159411405,UO4A
MELEXIS NV,BE0165385973,MEX
KBC EQ.FD-PHARMA CAP.,BE0166584350,CFQD
KBC EQ.FD-PHARMA DIS.,BE0166585365,WJFQ
KBC SEL.IMMO-EUR.PLUS CAP,BE0166978412,WJFL
KBC SEL.IMMO-WORLD PL.CAP,BE0166979428,WJFM
KBC EQ.FD-FINANCE DIS.,BE0166984477,WJFR
KBC EQ.FD-FINANCE CAP.,BE0166985482,CFQF
KBC EQUITY FD-TELECOM CAP,BE0167421966,CFQM
KBC EQ.FD-GWTH BY INN.CAP,BE0167682666,CFQ8
KBC EQ.FD-FOOD+PE.PR.CAP.,BE0170241062,WJF9
CANDR.SUST.-EUROPE C,BE0173540072,UO4I
CANDR.SUST.-NTH AM.C CAP,BE0173901779,UO4D
KBC EQ.FD-STRA.FIN.CAP.,BE0174093758,CFQI
CANDR.SUST.-PACIFIC C CAP,BE0174191768,UO4E
KBC EQUITY-BUYBACK E.CAP,BE0174407016,WJF3
CANDR.EQU.B-GLOBAL FIN. C,BE0174812181,DXU2
KBC EQ.FD-OIL CAP.,BE0174962713,WJF5
KBC ECO FD-ALT.ENERGY DIS,BE0175279976,CFQ6
KBC ECO FD-ALT.ENERGY CAP,BE0175280016,CFQ3
KBC ECO FD-WATER DIS.,BE0175478057,CFQ5
KBC ECO FD-WATER CAP.,BE0175479063,CFQ1
KBC ECO FD-IMP.INV.CAP.,BE0175718510,WJFF
KBC EQ.FD-EUROZONE CAP.,BE0175979211,CFQA
CANDR.EQUIT.B-RO.+IN.TE.C,BE0176735018,UO4Z
KBC SEL.IMMO-WORLD PL.DIS,BE0940483689,WJFN
KBC EQ.FD-HIGH DIV. DIS.,BE0940703946,CFQ9
KBC EQ.FD-HIGH DIV. CAP.,BE0940704951,WJFB
CANDR.SUST.-EURO BDS C,BE0943336116,UO4H
CANDR.SUST.-EUROPE C DIS,BE0945310457,UO4F
CANDR.SUST.-EUROPE NETW.,BE0945311463,UO4G
CANDR.SUST.-MEDIUM C DIS,BE0945316512,UO4Q
CANDR.SUST.-NTH AM.C DIS,BE0945318534,UO4K
CANDR.SUST.-NTH AM.NETW.C,BE0945319540,UO4L
CANDR.SUST.-EO S.T.BDS C,BE0945490317,UO4X
CANDR.SUST.-EO CRP.BDS C,BE0945493345,UO4Y
CANDR.EQUIT.B-EUR.CONV.CC,BE0945524651,UO4J
KBC ECO FD-CLIMATE CH.DIS,BE0946843266,CFQ2
KBC ECO FD-CLIMATE CH.CAP,BE0946844272,CFQ4
CANDR.SUST.-WORLD C DIS,BE0946892750,UO4N
CANDR.SUST.-WORLD C CAP,BE0946893766,UO4M
CANDR.SUST.-WORLD N CAP,BE0946894772,UO4P
KBC EQ-HI.DIV.NEW MKTS C.,BE0947467685,WJFI
CANDR.EQUITIES B-BRIC C,BE0948468021,UO4W
CANDR.EQUITIES B-BRIC C,BE0948469037,DXU1
DPAM INV.B EQ.EUROLAND FC,BE0948484184,0PMC
DPAM INV.B EQ.EUR.DIV.FIC,BE0948486205,0PMF
KBC EQUITY-SATELLITES CAP,BE0948574117,WJFS
CANDR.EQU.B-EU.S+M CAPS C,BE0948878245,UO41
COLRUYT,BE0974256852,EFC1
BEKAERT P.S.,BE0974258874,BK8N
D'IETEREN P.S.,BE0974259880,DJDA
CELYAD S.A.,BE0974260896,1C0
AGEAS SA/NV,BE0974264930,FO4N
BPOST S.A. COMPARTMENT A,BE0974268972,13B
VIOHALCO S.A.,BE0974271034,VHC
QRF SCA,BE0974272040,2QR
KINEPOLIS GRP SA,BE0974274061,KPSN
"ONTEX GROUP NV EO -,01",BE0974276082,OT7
BONE THERAPEUTICS S.A.,BE0974280126,BT1
BIOCARTIS GR. 144A/REG S,BE0974281132,8XB
TINC COMM. VA,BE0974282148,5TI
MITHRA PHARMACEUTIC.AIW,BE0974283153,1TM
KKO INTERNATIONAL    O.N.,BE0974284169,5KI
XIOR STUDENT HOUSING N.V.,BE0974288202,5XR
DEXIA SA NOM.,BE0974290224,DXBA
ANHEUSER-BUSCH INBEV,BE0974293251,1NBA
NYRSTAR,BE0974294267,3NY1
KBC EQ.FD-TECHNO. CAP.,BE6213773508,WJFG
ETROPAL AD           BW 1,BG1100001038,5EO
BULGARIAN REAL EST. BW 1,BG1100001053,5BU
BULG. PRIV. EQUITY FD AD-SOFIA,BG1100001129,BPT
TEXIM BANK AD-SOFIA,BG1100001921,5CP
BULGARIAN HLD CO AD  BW 1,BG1100001988,5BA
INTERSTANDARTS AD-SOFIA,BG1100003034,5I3
AKTIV PROPERTIES     BW 1,BG1100003059,5AX
SOLARPRO HOLDING AD-SOFIA,BG1100003109,0S8
PHOENIX CAPITAL HOLDING AD-SOF,BG1100003141,0PH
PRINZ VON PREUSSEN CAP. LTD AD,BG1100003158,PR3
ALLTERCO AD-SOFIA,BG1100003166,A4L
INFRA HOLDING PLC-SOFIA,BG1100004081,RA8
ARTANES MINING GRP. AD-SOFIA,BG1100005112,ATZ
STARA PLANINA HOLD.  BW 1,BG1100005971,5SR
CEE PROPERTIES REIT  BW 1,BG1100006060,5CG
REAL BULLAND JSC-SOFIA,BG1100006136,RBL
EUROPE ONLINE TRADE EAD,BG1100006169,E1D
TECHNOLOGY+INNOV. CORP AD-PLOV,BG1100006979,5T3
BIANOR PLC           BW 1,BG1100007076,5BI
SPEEDY AD-SOFIA,BG1100007126,0SP
ATOMENERGOREMONT AD-KOZLODUY,BG1100007159,68A
EKIP-98 HOLDING AD-SOFIA,BG1100007985,5EK
NID INDUSTRIAL FUND AD-SOFIA,BG1100007993,5I5
TCHAIKAPHARMA HIGHQU.MEDICI.AD,BG1100008074,7TH
BIOIASIS AD          BW 1,BG1100008082,4OE
SYNTHETICA AD-SOFIA,BG1100008132,EHN
ARCO REAL ESTATE FUND REIT-SOF,BG1100008157,28R
BULVESTA HLDG AD     BW 1,BG1100008975,5BV
